,Token,Reading,Dict. form,POS,Line,Song ID,Pitch accent
0,海猫,ウミネコ,海猫,"('名詞', '普通名詞', '一般', '*', '*', '*')",1,1,0
1,が,ガ,が,"('接続詞', '*', '*', '*', '*', '*')",1,1,0
2,鳴く,ナク,鳴く,"('動詞', '一般', '*', '*', '五段-カ行', '終止形-一般')",1,1,0
3,から,カラ,から,"('接続詞', '*', '*', '*', '*', '*')",1,1,1
4,ニシン,ニシン,ニシン,"('名詞', '普通名詞', '一般', '*', '*', '*')",1,1,0
5,が,ガ,が,"('接続詞', '*', '*', '*', '*', '*')",1,1,0
6,来る,クル,来る,"('動詞', '非自立可能', '*', '*', 'カ行変格', '終止形-一般')",1,1,1
7,と,ト,と,"('助詞', '格助詞', '*', '*', '*', '*')",1,1,1
8,赤い,アカイ,赤い,"('形容詞', '一般', '*', '*', '形容詞', '終止形-一般')",2,1,0
9,筒袖,ツツソデ,筒袖,"('名詞', '普通名詞', '一般', '*', '*', '*')",2,1,0
10,の,ノ,の,"('助詞', '格助詞', '*', '*', '*', '*')",2,1,1
11,ヤン,ヤン,ヤン,"('名詞', '固有名詞', '人名', '一般', '*', '*')",2,1,
12,衆,シュウ,衆,"('名詞', '普通名詞', '一般', '*', '*', '*')",2,1,1
13,が,ガ,が,"('接続詞', '*', '*', '*', '*', '*')",2,1,0
14,さわぐ,サワグ,さわぐ,"('動詞', '一般', '*', '*', '五段-ガ行', '終止形-一般')",2,1,2
15,雪,ユキ,雪,"('名詞', '普通名詞', '一般', '*', '*', '*')",3,1,0
16,に,ニ,に,"('助詞', '格助詞', '*', '*', '*', '*')",3,1,1
17,埋もれ,ウズモレ,埋もれる,"('動詞', '一般', '*', '*', '下一段-ラ行', '連用形-一般')",3,1,"0,4"
18,た,タ,た,"('助動詞', '*', '*', '*', '助動詞-タ', '終止形-一般')",3,1,1
19,番屋,バンヤ,番屋,"('名詞', '普通名詞', '一般', '*', '*', '*')",3,1,"3,0"
20,の,ノ,の,"('助詞', '格助詞', '*', '*', '*', '*')",3,1,1
21,隅,スミ,隅,"('名詞', '普通名詞', '一般', '*', '*', '*')",3,1,1
22,で,デ,で,"('接続詞', '*', '*', '*', '*', '*')",3,1,1
23,わたしゃ,ワタシャ,わたしゃ,"('代名詞', '*', '*', '*', '*', '*')",4,1,
24,夜通し,ヨドオシ,夜通し,"('副詞', '*', '*', '*', '*', '*')",4,1,0
25,飯,メシ,飯,"('名詞', '普通名詞', '一般', '*', '*', '*')",4,1,2
26,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",4,1,
27,炊く,タク,炊く,"('動詞', '一般', '*', '*', '五段-カ行', '終止形-一般')",4,1,0
28,あれ,アレ,あれ,"('代名詞', '*', '*', '*', '*', '*')",5,1,0
29,から,カラ,から,"('接続詞', '*', '*', '*', '*', '*')",5,1,1
30,ニシン,ニシン,ニシン,"('名詞', '普通名詞', '一般', '*', '*', '*')",5,1,0
31,は,ハ,は,"('助詞', '係助詞', '*', '*', '*', '*')",5,1,1
32,どこ,ドコ,どこ,"('代名詞', '*', '*', '*', '*', '*')",5,1,1
33,へ,ヘ,へ,"('助詞', '格助詞', '*', '*', '*', '*')",5,1,1
34,行っ,イッ,行く,"('動詞', '非自立可能', '*', '*', '五段-カ行', '連用形-促音便')",5,1,0
35,た,タ,た,"('助動詞', '*', '*', '*', '助動詞-タ', '終止形-一般')",5,1,1
36,やら,ヤラ,やら,"('助詞', '副助詞', '*', '*', '*', '*')",5,1,
37,破れ,ヤブレ,破れ,"('名詞', '普通名詞', '一般', '*', '*', '*')",6,1,3
38,た,タ,た,"('助動詞', '*', '*', '*', '助動詞-タ', '終止形-一般')",6,1,1
39,網,アミ,網,"('名詞', '普通名詞', '一般', '*', '*', '*')",6,1,2
40,は,ハ,は,"('助詞', '係助詞', '*', '*', '*', '*')",6,1,1
41,問い,トイ,問い,"('名詞', '普通名詞', '一般', '*', '*', '*')",6,1,1
42,刺し網,サシアミ,刺し網,"('名詞', '普通名詞', '一般', '*', '*', '*')",6,1,"0,2"
43,か,カ,か,"('助詞', '終助詞', '*', '*', '*', '*')",6,1,1
44,今,イマ,今,"('名詞', '普通名詞', '副詞可能', '*', '*', '*')",7,1,2
45,じゃ,ジャ,じゃ,"('接続詞', '*', '*', '*', '*', '*')",7,1,1
46,浜辺,ハマベ,浜辺,"('名詞', '普通名詞', '一般', '*', '*', '*')",7,1,"0,3"
47,で,デ,で,"('接続詞', '*', '*', '*', '*', '*')",7,1,1
48,オンボロロ,オンボロロ,オンボロロ,"('名詞', '普通名詞', '一般', '*', '*', '*')",7,1,
49,オンボロボロロー,オンボロボロロー,オンボロボロロー,"('名詞', '普通名詞', '一般', '*', '*', '*')",8,1,
50,沖,オキ,沖,"('名詞', '普通名詞', '一般', '*', '*', '*')",9,1,0
51,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",9,1,
52,通る,トオル,通る,"('動詞', '一般', '*', '*', '五段-ラ行', '終止形-一般')",9,1,1
53,は,ハ,は,"('助詞', '係助詞', '*', '*', '*', '*')",9,1,1
54,笠戸丸,カサトマル,笠戸丸,"('名詞', '固有名詞', '一般', '*', '*', '*')",9,1,
55,わたしゃ,ワタシャ,わたしゃ,"('代名詞', '*', '*', '*', '*', '*')",10,1,
